trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.8, 'e': 6.830134553650706e-05}",35,14,40.3594527904531,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 6.718624025799516e-05}",20,12,15.169084095418253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 6.609822195782933e-05}",20,14,13.427489917623078,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 6.503642039542144e-05}",25,7,31.158607386175937,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 6.4e-05}",25,16,18.036926278594766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 6.298815822625347e-05}",30,8,36.532002933867,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 6.2000124000248e-05}",25,1,39.43377389128704,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 6.103515625e-05}",25,16,17.900358503688743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 6.009254251547383e-05}",20,9,11.098760627156322,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 5.9171597633136094e-05}",30,13,33.40995693146497,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 5.8271662490530857e-05}",20,16,7.8907344799288115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 5.73921028466483e-05}",25,10,26.82578892646411,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 5.6532308214144386e-05}",25,11,28.870338044490886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
